Altium Designer Pick and Place Locations
E:\Altium\Projects\STM32F417 Demo Board\Project Outputs for STM32F417 Demo Board\Pick Place for PCB(Prototip_Assembly).csv

========================================================================================================================
File Design Information:

Date:       19-01-25
Time:       20:25
Revision:   Not in VersionControl
Variant:    Prototip_Assembly
Units used: mm

"Designator","Manufacturer Part Number","Layer","Description","Center-X(mm)","Center-Y(mm)","Rotation"
"R204","RC0402FR-070RL","TopLayer","Res, 0R, M1005","42.5000mm","24.5000mm","0"
"R205","RC0402FR-070RL","TopLayer","Res, 0R, M1005","42.5000mm","21.0000mm","180"
"R300","RC0402FR-070RL","TopLayer","Res, 0R, M1005","5.0000mm","90.0000mm","270"
"R301","RC0402FR-070RL","TopLayer","Res, 0R, M1005","95.0000mm","90.0000mm","90"
"R302","RC0402FR-070RL","TopLayer","Res, 0R, M1005","5.0000mm","10.0000mm","90"
"R303","RC0402FR-070RL","TopLayer","Res, 0R, M1005","95.0000mm","10.0000mm","270"
"R605","RC0805FR-0760R4L","BottomLayer","Res, 60.4R, 1%, M1005","26.0000mm","94.0000mm","90"
"R606","RC0805FR-0760R4L","BottomLayer","Res, 60.4R, 1%, M1005","29.0000mm","94.0000mm","270"
"R621","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","17.8250mm","33.0000mm","270"
"R622","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","19.7750mm","33.0000mm","270"
"R640","RC0805FR-0760R4L","BottomLayer","Res, 60.4R, 1%, M1005","14.5000mm","65.5000mm","90"
"R642","RC0805FR-0760R4L","BottomLayer","Res, 60.4R, 1%, M1005","8.5000mm","65.5000mm","90"
"R643","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","17.0000mm","63.5950mm","180"
"R644","RC0402FR-0710KP","TopLayer","Res, 10K, 1%, M1005","28.0000mm","63.6000mm","180"
"R645","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","28.0000mm","64.8000mm","180"
"R646","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","17.0000mm","64.8650mm","180"
"R647","RC0805FR-0760R4L","BottomLayer","Res, 60.4R, 1%, M1005","8.5000mm","59.5000mm","270"
"R648","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","17.0000mm","67.4050mm","180"
"R649","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","17.0000mm","66.1350mm","180"
"R650","RC0805FR-0760R4L","BottomLayer","Res, 60.4R, 1%, M1005","14.5000mm","59.5000mm","270"
"R651","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","17.0000mm","57.5950mm","180"
"R652","RC0402FR-0710KP","TopLayer","Res, 10K, 1%, M1005","28.0000mm","57.6000mm","180"
"R653","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","28.0000mm","58.8000mm","180"
"R654","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","17.0000mm","58.8650mm","180"
"R655","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","17.0000mm","61.4050mm","180"
"R656","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","17.0000mm","60.1350mm","180"
"R660","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","45.0000mm","78.0000mm","0"
"R661","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","45.0000mm","77.0000mm","0"
"R662","RC0402FR-0710KP","TopLayer","Res, 10K, 1%, M1005","45.0000mm","84.0000mm","180"
"R663","RC0402FR-07200KL","TopLayer","Res, 200K, 1%, M1005","48.0000mm","70.0000mm","90"
"R664","RC0402FR-0710KP","TopLayer","Res, 10K, 1%, M1005","45.0000mm","86.0000mm","0"
"R665","RC0402FR-0710KP","TopLayer","Res, 10K, 1%, M1005","53.5000mm","72.5000mm","180"
"R666","RC0402FR-0710KP","TopLayer","Res, 10K, 1%, M1005","56.5000mm","71.0000mm","90"
"R667","RC0402FR-0710KP","TopLayer","Res, 10K, 1%, M1005","48.5000mm","73.5000mm","0"
"R668","RC0402FR-0710KP","TopLayer","Res, 10K, 1%, M1005","48.5000mm","74.5000mm","0"
"R671","RC0402FR-074K7L","TopLayer","Res, 4.7K, 1%, M1005","78.5000mm","25.0000mm","0"
"R672","RC0402FR-074K7L","TopLayer","Res, 4.7K, 1%, M1005","82.0000mm","20.5000mm","90"
"R673","RC0402FR-074K7L","TopLayer","Res, 4.7K, 1%, M1005","78.5000mm","24.0000mm","0"
"R674","RC0402FR-074K7L","TopLayer","Res, 4.7K, 1%, M1005","84.0000mm","21.5000mm","90"
"R675","RC0402FR-074K7L","TopLayer","Res, 4.7K, 1%, M1005","81.0000mm","28.5000mm","270"
"R676","RC0402FR-0722RL","BottomLayer","Res, 22R, 1%, M1005","89.0000mm","25.5000mm","180"
"R677","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","87.0000mm","20.5000mm","0"
"R678","RC0402FR-0710KP","TopLayer","Res, 10K, 1%, M1005","80.0000mm","28.5000mm","90"
"R679","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","87.0000mm","22.5000mm","0"
"R680","RC0402FR-0722RL","BottomLayer","Res, 22R, 1%, M1005","89.0000mm","24.5000mm","180"
"R681","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","87.0000mm","18.5000mm","0"
"R700","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","83.5000mm","39.6000mm","0"
"R701","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","83.5000mm","42.1000mm","0"
"R702","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","83.5000mm","44.6000mm","0"
"R703","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","83.5000mm","47.2000mm","0"
"R704","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","83.5000mm","52.2000mm","0"
"R705","RC0402FR-0722RL","TopLayer","Res, 22R, 1%, M1005","83.5000mm","54.8000mm","0"
"R706","RC0402FR-0710KP","TopLayer","Res, 10K, 1%, M1005","28.0000mm","47.5000mm","90"
"R707","RC0402FR-071KP","BottomLayer","Res, 1K, 1%, M1005","45.0000mm","49.5000mm","180"
"R708","RC0402FR-070RL","TopLayer","Res, 0R, M1005","35.5000mm","56.0000mm","90"
"R709","RC0402FR-070RL","TopLayer","Res, 0R, M1005","35.5000mm","54.0000mm","270"
"R712","RC0402FR-070RL","BottomLayer","Res, 0R, M1005","50.0000mm","53.5000mm","180"
"R713","RC0402FR-070RL","BottomLayer","Res, 0R, M1005","50.0000mm","52.0000mm","180"
"R714","RC0402FR-070RL","TopLayer","Res, 0R, M1005","38.5000mm","50.8000mm","180"
"R715","RC0402FR-070RL","TopLayer","Res, 0R, M1005","38.5000mm","49.8000mm","180"
"R740","RC0402FR-072K2L","BottomLayer","Res, 2.2K, 1%, M1005","31.5000mm","43.0000mm","270"
"R741","RC0402FR-072K2L","BottomLayer","Res, 2.2K, 1%, M1005","30.5000mm","43.0000mm","270"
"R742","RC0402FR-0710KP","TopLayer","Res, 10K, 1%, M1005","30.5000mm","36.0000mm","180"
"R743","RC0402FR-072K2L","BottomLayer","Res, 2.2K, 1%, M1005","28.5000mm","29.0000mm","0"
"R744","RC0402FR-072K2L","BottomLayer","Res, 2.2K, 1%, M1005","28.5000mm","30.0000mm","0"
"R746","RC0402FR-074K87L","BottomLayer","Res, 4.87K, 1%, M1005","28.5000mm","31.5000mm","180"
"R748","RC0402FR-07330RL","BottomLayer","Res, 330R, 1%, M1005","24.5000mm","32.5000mm","0"
"R749","RC0402FR-07330RL","BottomLayer","Res, 330R, 1%, M1005","24.5000mm","31.5000mm","0"
"R750","RC0402FR-0751RL","BottomLayer","Res, 51R, 1%, M1005","32.9450mm","28.0000mm","90"
"R751","RC0402FR-0751RL","BottomLayer","Res, 51R, 1%, M1005","30.4050mm","28.0000mm","270"
"R752","RC0402FR-07330RL","BottomLayer","Res, 330R, 1%, M1005","24.5000mm","33.5000mm","0"
"R753","RC0402FR-0751RL","BottomLayer","Res, 51R, 1%, M1005","26.5950mm","28.0000mm","90"
"R754","RC0402FR-0751RL","BottomLayer","Res, 51R, 1%, M1005","24.0550mm","28.0000mm","270"
"R755","RC0402FR-0775RL","BottomLayer","Res, 75R, 1%, M1005","27.0000mm","19.5000mm","0"
"R756","RC0402FR-0775RL","BottomLayer","Res, 75R, 1%, M1005","30.0000mm","19.5000mm","180"
"R757","RC0402FR-071K5L","TopLayer","Res, 1.5K, 1%, M1005","27.5000mm","36.7500mm","180"
"R758","RC0402FR-072K2L","TopLayer","Res, 2.2K, 1%, M1005","24.5000mm","32.5000mm","0"
"R759","RC0402FR-072K2L","TopLayer","Res, 2.2K, 1%, M1005","24.5000mm","31.5000mm","0"
"R760","RC0402FR-072K2L","TopLayer","Res, 2.2K, 1%, M1005","24.5000mm","33.5000mm","0"
"R40_Bt1","RC0402FR-071KP","TopLayer","Res, 1K, 1%, M1005","58.5000mm","62.0000mm","90"
"R40_Bt2","RC0402FR-071KP","TopLayer","Res, 1K, 1%, M1005","70.0000mm","62.0000mm","90"
"R40_Bt3","RC0402FR-071KP","TopLayer","Res, 1K, 1%, M1005","81.5000mm","62.0000mm","90"
"R41_Bt1","RC0402FR-07100KP","TopLayer","Res, 100K, 1%, M1005","49.5000mm","62.0000mm","90"
"R41_Bt2","RC0402FR-07100KP","TopLayer","Res, 100K, 1%, M1005","61.0000mm","62.0000mm","90"
"R41_Bt3","RC0402FR-07100KP","TopLayer","Res, 100K, 1%, M1005","72.5000mm","62.0000mm","90"
"R80_LdG","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","32.0000mm","64.5000mm","0"
"R81_LdG","RC0402FR-07100KP","TopLayer","Res, 100K, 1%, M1005","30.5000mm","63.0000mm","270"
"R80_LdO","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","41.0000mm","64.5000mm","0"
"R81_LdO","RC0402FR-07100KP","TopLayer","Res, 100K, 1%, M1005","39.5000mm","63.0000mm","270"
"R80_LdR","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","45.5000mm","64.5000mm","0"
"R81_LdR","RC0402FR-07100KP","TopLayer","Res, 100K, 1%, M1005","44.0000mm","63.0000mm","270"
"R80_LdY","RC0402FR-07330RL","TopLayer","Res, 330R, 1%, M1005","36.5000mm","64.5000mm","0"
"R81_LdY","RC0402FR-07100KP","TopLayer","Res, 100K, 1%, M1005","35.0000mm","63.0000mm","270"
"R60_Sw1","RC0402FR-071KP","TopLayer","Res, 1K, 1%, M1005","67.5000mm","49.0000mm","90"
"R60_Sw2","RC0402FR-071KP","TopLayer","Res, 1K, 1%, M1005","74.5000mm","49.0000mm","90"
"R60_Sw3","RC0402FR-071KP","TopLayer","Res, 1K, 1%, M1005","81.5000mm","49.0000mm","90"
"R61_Sw1","RC0402FR-07100KP","TopLayer","Res, 100K, 1%, M1005","67.0000mm","46.0000mm","0"
"R61_Sw2","RC0402FR-07100KP","TopLayer","Res, 100K, 1%, M1005","74.0000mm","46.0000mm","0"
"R61_Sw3","RC0402FR-07100KP","TopLayer","Res, 100K, 1%, M1005","81.0000mm","46.0000mm","0"
"Sw700","EVQ-Q2K03W","TopLayer","Switch, Tactile, SPST, SMD","22.5000mm","47.5000mm","180"
"Sw40_Bt1","EVQ-Q2K03W","TopLayer","Switch, Tactile, SPST, SMD","54.0000mm","62.5000mm","180"
"Sw40_Bt2","EVQ-Q2K03W","TopLayer","Switch, Tactile, SPST, SMD","65.5000mm","62.5000mm","180"
"Sw40_Bt3","EVQ-Q2K03W","TopLayer","Switch, Tactile, SPST, SMD","77.0000mm","62.5000mm","180"
"Sw60_Sw1","SDA01H1SBD","TopLayer","Switch, Slide, SPST, SMD","64.5000mm","51.0000mm","0"
"Sw60_Sw2","SDA01H1SBD","TopLayer","Switch, Slide, SPST, SMD","71.5000mm","51.0000mm","0"
"Sw60_Sw3","SDA01H1SBD","TopLayer","Switch, Slide, SPST, SMD","78.5000mm","51.0000mm","0"
"TR740","SM13126PEL","TopLayer","Transformer, Eth, 100Mbps, SM13126PEL","28.5000mm","22.5000mm","270"
"TVS620","CDSOT23-SM712","BottomLayer","TVS, 2P, Bidirectional, 7V/12V, SOT-23-3","5.0000mm","30.5000mm","90"
"TVS621","CDSOT23-SM712","BottomLayer","TVS, 2P, Bidirectional, 7V/12V, SOT-23-3","5.0000mm","24.5000mm","90"
"TVS640","CDSOT23-SM712","BottomLayer","TVS, 2P, Bidirectional, 7V/12V, SOT-23-3","17.0000mm","59.5000mm","270"
"TVS641","CDSOT23-SM712","BottomLayer","TVS, 2P, Bidirectional, 7V/12V, SOT-23-3","6.0000mm","65.5000mm","90"
"TVS642","CDSOT23-SM712","BottomLayer","TVS, 2P, Bidirectional, 7V/12V, SOT-23-3","17.0000mm","65.4600mm","270"
"TVS643","CDSOT23-SM712","BottomLayer","TVS, 2P, Bidirectional, 7V/12V, SOT-23-3","6.0000mm","59.5000mm","90"
"Xtal700","NX3215SA-32.768K-STD-MUS-2","TopLayer","XTAL, 32.768kHz, 12.5pF","34.0000mm","55.0000mm","90"
"Xtal701","CX3225SB25000H0FLJCC","TopLayer","XTAL, 25MHz, 12pF","34.5000mm","50.0000mm","45"
